64;CASA-CONFIRMAR DEPENDENCIAS.                      ;                                                  ;MORRO DA POLENTA                   ;                                                  ;                    ;                         ;89251000;  ;13;1;141;0;1;13;12000;0;0;1200;203;119; ;                                                  ;                                                  ;U;8175;
66;SALA  COMERCIAl COM 120,00M2.                     ;                                                  ;R.CEL.PROC.GOMES DE OLIVEIRA,1.367 ;                                                  ;CENTRO              ;JARAGUA DO SUL           ;89251200;SC;1;4;468;1;0;19;89400;0;0;1500;2735;4817; ;                                                  ;                                                  ;U;8175;0
67;CASA-ALVENARIA-C/4QUARTOS,SALA,COPA,COZINHA,BWC,  ;LAVANDERIA,AREA COM CHURRASQUEIRA E GARAGEM.      ;R.MATHIAS RUIZAN,304               ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89251000;SC;11;1;121;0;0;16;86000;0;0;1000;5699;4595; ;                                                  ;                                                  ;U;8175;5700
68;CASA                                              ;                                                  ;R                                  ;                                                  ;                    ;                         ;89251000;  ;1;1;3;0;0;0;40000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
69;APARTAMENTO COM 2 QUARTOS,SALA,COPA/COZINHA,BANHEI;RO,LAVANDERIA,GARAGEM.                            ;R.JOSE T.RIBEIRO,1014/303 BL.II    ;APTO. 303 - BL. II                                ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89258000;SC;11;2;1034;0;0;15;66000;0;0;1000;5827;4284; ;                                                  ;                                                  ;U;8175;0
71;CASA-2QTOS,SALA,COZ.BWC,LAVANDERIA.               ;                                                  ;RUA PADRE HORACIO,22               ;                                                  ;VILA LENZI          ;JARAGUA DO SUL           ;89251000;SC;2;1;133;0;0;13;40000;0;0;1200;841;907; ;                                                  ;                                                  ;U;8175;
72;APARTAMENTO,1 QTO,SALA,COZ.BWC,LAVANDERIA,ESTACION;AMENTO COBERTO.                                   ;RUA ALFREDO CARLOS MEIER,45 AP.22  ;                                                  ;CENTENARIO          ;JARAGUA DO SUL           ;89256640;SC;8;2;116;0;0;16;40000;0;0;1200;4263;2658; ;                                                  ;                                                  ;U;8175;
73;APARTAMENTO-1 QTO,SALA,COZ.BWC,LAVANDERIA,ESTACION;AMENTO COBERTO.                                   ;RUA ALFREDO CARLOS MEIER,45 AP.33  ;                                                  ;CENTENARIO          ;JARAGUA DO SUL           ;89256640;SC;8;2;116;0;0;0;20000;0;0;1200;367;88; ;                                                  ;                                                  ;U;8175;
75;CASA ALVENARIA-3 QTOS,SALA,COZ.BWC,LAVANDERIA.    ;CHURRASQUEIRA E GARAGEM.                          ;RUA PADRE HORACIO Nº 27            ;                                                  ;VILA LENZI          ;JARAGUA DO SUL           ;89252450;SC;2;1;133;0;0;21;36700;0;0;1200;1748;2542; ;                                                  ;                                                  ;U;8175;
77;APARTAMENTO COM 2 QTOS,SALA,COZINHA,BANHEIRO,ÁREA ;DE SERVIÇO,GARAGEM.                               ;R.JOSE T.RIBEIRO,1.014/202 BL.II   ;EDIF. PICCININI                                   ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89258001;SC;11;2;485;0;0;28;59300;0;0;1000;0;0; ;                                                  ;                                                  ;U;8175;0
78;APARTAMENTO COM 2 QUARTOS,SALA,COZINHA,BANHEIRO,  ;LAVANDERIA,GARAGEM.                               ;R.JOSE T.RIBEIRO,1.014/201-BL.II   ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89258000;SC;11;2;3063;0;0;15;62000;0;0;1000;3064;4847; ;                                                  ;                                                  ;U;8175;0
79;CASA DE ALVENARIA COM 145,00M2,COM 3 QTOS,SALA,   ;COPA/COZINHA,BWC,LAVANDERIA,GARAGEM.              ;R.JOSE ALVES PEREIRA,93 CASA 02    ;                                                  ;CZERNIEWICZ         ;JARAGUA DO SUL           ;89255450;SC;7;1;502;0;0;5;30500;0;0;1500;138;111; ;                                                  ;                                                  ;U;8175;
82;1 QUARTO, SALA, COZINHA, BWC, LAVANDERIA,ESTACIONA;MENTO COBERTO,SACADA.                             ;R.ALFREDO CARLOS MEIER,45/APTO 55  ;                                                  ;CENTENARIO          ;JARAGUA DO SUL           ;89256640;SC;8;2;116;0;0;8;20000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
83;CASA DE ALVENARIA COM 3 QUARTOS,SALA,COZINHA,2BWC,;LAVANDERIA,DISPENSA,GARAGEM.                      ;R.CLEMENTE SCHMITZ,70              ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89258180;SC;11;1;546;0;0;24;38000;0;0;1200;548;128; ;                                                  ;                                                  ;U;8175;
84;APARTAMENTO COM 2 QUARTOS,SALA,COZINHA,BWC,LAVANDE;RIA E GARAGEM. AP. 203                            ;R.JOSE T.RIBEIRO,1014/203 -BL.II   ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89251000;SC;11;2;1028;0;0;15;62900;0;0;1000;5781;5038; ;                                                  ;                                                  ;U;8175;0
85;APARTAMENTO COM 2 QTOS,SALA,COZINHA,BWC,LAVANDERIA;E GARAGEM  -  AP. 103                             ;R.JOSE T.RIBEIRO,1.014/103 BL.II   ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89258000;SC;11;2;485;0;0;23;63000;0;0;1000;5720;5021; ;                                                  ;                                                  ;U;8175;0
86;CASA DE MIXTA,  COM 50,00M2,2 QUARTOS,SALA/COZINHA;BWC.                                              ;R.MARIANO WITKOWOSKY,286           ;                                                  ;VILA RAU            ;JARAGUA DO SUL           ;89254160;SC;4;1;577;0;0;7;15000;0;0;1500;419;140; ;                                                  ;                                                  ;U;8175;
87;APARTAMENTO COM 2 QUARTOS.SALA,COPA/COZINHA,BWC,  ;LAVANDERIA,GARAGEM.                               ;R.JOSE T.RIBEIRO,1.014/102-BL.II   ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89251000;SC;11;2;1761;0;0;7;59000;0;0;1000;5096;4954; ;                                                  ;                                                  ;U;8175;0
88;APARTAMENTO COM 2 QUARTOS,SALA,COPA/COZINHA,BWC,  ;LAVANDERIA,GARAGEM                                ;R.JOSE T.RIBEIRO,1014/101-BL.II    ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89258001;SC;11;2;1028;0;0;19;65000;0;0;1000;6124;4723; ;                                                  ;                                                  ;U;8175;6125
89;CASA DE MADEIRA COM 4 QUARTOS,SALA,COPA,COZINHA,  ;BWC,LAVANDERIA E GARAGEM.                         ;R.VICTOR ROSEMBERG, 422            ;                                                  ;VILA LENZI          ;JARAGUA DO SUL           ;89251000;SC;2;1;586;0;0;26;28000;0;0;1500;0;0; ;                                                  ;                                                  ;U;8175;
